Trade_Num,Date,SPY_Price,SPX_Price,SPY_Strike,SPX_Strike,SPY_Bid,SPY_Ask,SPX_Bid,SPX_Ask,Entry_Credit,Exit_Cost,Exit_Reason,Final_PnL,Cumulative_PnL,Peak,Drawdown
1,2025-12-03,681.81,6818.10,680,6800,3.76,3.78,24.14,24.44,1306.92,0.00,Held to expiration,1306.92,1306.92,1306.92,0.00
2,2025-12-04,682.50,6825.00,680,6800,4.45,4.47,31.05,31.35,1307.60,0.00,Held to expiration,1307.60,2614.52,2614.52,0.00
3,2025-12-05,683.62,6836.20,685,6850,1.95,1.97,6.05,6.35,1308.70,0.00,Held to expiration,1308.70,3923.22,3923.22,0.00
4,2025-12-08,681.68,6816.80,680,6800,3.63,3.65,22.84,23.14,1306.80,-0.00,Held to expiration,1306.80,5230.02,5230.02,0.00
5,2025-12-09,681.04,6810.40,680,6800,2.99,3.01,16.44,16.74,1306.17,0.00,Held to expiration,1306.17,6536.19,6536.19,0.00
6,2025-12-10,685.58,6855.80,685,6850,2.53,2.55,11.86,12.16,1310.62,-0.00,Held to expiration,1310.62,7846.81,7846.81,0.00
7,2025-12-11,687.14,6871.40,685,6850,4.10,4.12,27.47,27.77,1312.15,-0.00,Held to expiration,1312.15,9158.95,9158.95,0.00
8,2025-12-12,679.81,6798.10,680,6800,1.95,1.97,6.03,6.33,1304.96,0.00,Held to expiration,1304.96,10463.91,10463.91,0.00
9,2025-12-15,678.73,6787.30,680,6800,1.94,1.96,6.03,6.33,1303.90,0.00,Held to expiration,1303.90,11767.81,11767.81,0.00
10,2025-12-16,676.88,6768.80,675,6750,3.82,3.84,24.82,25.12,1302.07,0.00,Held to expiration,1302.07,13069.88,13069.88,0.00
11,2025-12-17,669.47,6694.70,670,6700,1.93,1.95,5.99,6.29,1294.75,0.00,Held to expiration,1294.75,14364.63,14364.63,0.00
12,2025-12-18,674.54,6745.40,675,6750,1.94,1.96,6.01,6.31,1299.77,0.00,Held to expiration,1299.77,15664.40,15664.40,0.00
13,2025-12-19,680.52,6805.20,680,6800,2.47,2.49,11.24,11.54,1305.66,0.00,Held to expiration,1305.66,16970.05,16970.05,0.00
14,2025-12-22,684.71,6847.10,685,6850,1.95,1.97,6.06,6.36,1309.77,0.00,Held to expiration,1309.77,18279.82,18279.82,0.00
15,2025-12-23,687.91,6879.10,690,6900,1.96,1.98,6.07,6.37,1312.90,0.00,Held to expiration,1312.90,19592.72,19592.72,0.00
16,2025-12-24,690.27,6902.70,690,6900,2.23,2.25,8.78,9.08,1315.21,0.00,Held to expiration,1315.21,20907.93,20907.93,0.00
17,2025-12-26,690.26,6902.60,690,6900,2.22,2.24,8.68,8.98,1315.20,0.00,Held to expiration,1315.20,22223.12,22223.12,0.00
18,2025-12-29,687.98,6879.75,690,6900,1.96,1.98,6.07,6.37,1312.96,0.00,Held to expiration,1312.96,23536.09,23536.09,0.00
19,2025-12-30,686.93,6869.30,685,6850,3.89,3.91,25.37,25.67,1311.94,-0.00,Held to expiration,1311.94,24848.03,24848.03,0.00
20,2025-12-31,681.82,6818.20,680,6800,3.77,3.79,24.24,24.54,1306.93,0.00,Held to expiration,1306.93,26154.96,26154.96,0.00
21,2026-01-02,683.33,6833.30,685,6850,1.95,1.97,6.05,6.35,1308.42,0.00,Held to expiration,1308.42,27463.38,27463.38,0.00
22,2026-01-05,687.73,6877.30,690,6900,1.96,1.98,6.07,6.37,1312.72,0.00,Held to expiration,1312.72,28776.10,28776.10,0.00
23,2026-01-06,691.81,6918.10,690,6900,3.77,3.79,24.19,24.49,1316.71,0.00,Held to expiration,1316.71,30092.81,30092.81,0.00
24,2026-01-07,689.64,6896.40,690,6900,1.96,1.98,6.08,6.38,1314.59,0.00,Held to expiration,1314.59,31407.40,31407.40,0.00
25,2026-01-08,689.44,6894.40,690,6900,1.96,1.98,6.08,6.38,1314.40,0.00,Held to expiration,1314.40,32721.80,32721.80,0.00
26,2026-01-09,694.00,6940.05,695,6950,1.97,1.99,6.10,6.40,1318.85,0.00,Held to expiration,1318.85,34040.64,34040.64,0.00
27,2026-01-12,695.18,6951.85,695,6950,2.15,2.17,7.95,8.25,1319.99,0.00,Held to expiration,1319.99,35360.64,35360.64,0.00
28,2026-01-13,693.71,6937.10,695,6950,1.97,1.99,6.10,6.40,1318.56,0.00,Held to expiration,1318.56,36679.19,36679.19,0.00
29,2026-01-14,690.62,6906.20,690,6900,2.58,2.60,12.28,12.58,1315.55,-0.00,Held to expiration,1315.55,37994.74,37994.74,0.00
30,2026-01-15,692.18,6921.80,690,6900,4.14,4.16,27.89,28.19,1317.07,-0.00,Held to expiration,1317.07,39311.81,39311.81,0.00
31,2026-01-16,691.58,6915.80,690,6900,3.54,3.56,21.89,22.19,1316.48,-0.00,Held to expiration,1316.48,40628.29,40628.29,0.00
