symbol,datetime,open,high,low,close,volume,average
SPY,2026-01-26 09:30:00-05:00,690.47,691.33,689.92,691.28,1944277.0,690.774
SPY,2026-01-26 09:35:00-05:00,691.28,691.98,691.27,691.71,1590610.0,691.694
SPY,2026-01-26 09:40:00-05:00,691.71,692.29,691.4,692.19,1367976.0,691.952
SPY,2026-01-26 09:45:00-05:00,692.19,692.55,692.15,692.21,989305.0,692.356
SPY,2026-01-26 09:50:00-05:00,692.21,692.63,692.07,692.38,995556.0,692.381
SPY,2026-01-26 09:55:00-05:00,692.39,692.63,692.22,692.26,637777.0,692.426
SPY,2026-01-26 10:00:00-05:00,692.26,692.37,691.98,692.21,613336.0,692.204
SPY,2026-01-26 10:05:00-05:00,692.21,692.39,691.94,691.97,398214.0,692.205
SPY,2026-01-26 10:10:00-05:00,691.97,692.67,691.75,692.59,628598.0,692.188
SPY,2026-01-26 10:15:00-05:00,692.58,693.14,692.49,693.1,838883.0,692.781
SPY,2026-01-26 10:20:00-05:00,693.1,693.4,693.1,693.35,935668.0,693.261
SPY,2026-01-26 10:25:00-05:00,693.35,693.36,692.51,692.55,923759.0,692.924
SPY,2026-01-26 10:30:00-05:00,692.54,693.07,692.38,692.85,660784.0,692.657
SPY,2026-01-26 10:35:00-05:00,692.83,693.02,692.65,692.78,375204.0,692.858
SPY,2026-01-26 10:40:00-05:00,692.78,692.82,692.23,692.31,681317.0,692.512
SPY,2026-01-26 10:45:00-05:00,692.3,693.12,692.3,692.93,481446.0,692.805
SPY,2026-01-26 10:50:00-05:00,692.94,693.34,692.88,693.15,554806.0,693.121
SPY,2026-01-26 10:55:00-05:00,693.14,693.31,692.89,692.98,662462.0,693.069
SPY,2026-01-26 11:00:00-05:00,692.98,693.08,692.74,692.92,500136.0,692.921
SPY,2026-01-26 11:05:00-05:00,692.92,692.97,692.62,692.85,338257.0,692.781
SPY,2026-01-26 11:10:00-05:00,692.85,692.94,692.64,692.83,333439.0,692.817
SPY,2026-01-26 11:15:00-05:00,692.82,692.89,692.39,692.48,335868.0,692.673
SPY,2026-01-26 11:20:00-05:00,692.47,693.04,692.23,692.95,600435.0,692.691
SPY,2026-01-26 11:25:00-05:00,692.96,693.28,692.87,693.11,428284.0,693.055
SPY,2026-01-26 11:30:00-05:00,693.11,693.36,692.96,692.97,460222.0,693.168
SPY,2026-01-26 11:35:00-05:00,692.97,693.25,692.84,693.02,467363.0,693.028
SPY,2026-01-26 11:40:00-05:00,693.02,693.12,692.86,692.93,221338.0,692.987
SPY,2026-01-26 11:45:00-05:00,692.91,693.11,692.77,692.97,336945.0,692.939
SPY,2026-01-26 11:50:00-05:00,692.98,693.2,692.92,693.1,279236.0,693.102
SPY,2026-01-26 11:55:00-05:00,693.11,693.23,692.98,693.12,196678.0,693.129
SPY,2026-01-26 12:00:00-05:00,693.1,693.68,693.03,693.54,445119.0,693.37
SPY,2026-01-26 12:05:00-05:00,693.55,693.71,693.45,693.45,433577.0,693.596
SPY,2026-01-26 12:10:00-05:00,693.46,693.57,693.29,693.5,214139.0,693.431
SPY,2026-01-26 12:15:00-05:00,693.5,693.68,693.43,693.5,227421.0,693.54
SPY,2026-01-26 12:20:00-05:00,693.5,693.67,693.45,693.55,216905.0,693.558
SPY,2026-01-26 12:25:00-05:00,693.55,693.65,693.49,693.51,366660.0,693.567
SPY,2026-01-26 12:30:00-05:00,693.5,693.57,693.24,693.4,460737.0,693.414
SPY,2026-01-26 12:35:00-05:00,693.4,693.52,693.3,693.44,296933.0,693.448
SPY,2026-01-26 12:40:00-05:00,693.44,693.58,693.33,693.56,225009.0,693.467
SPY,2026-01-26 12:45:00-05:00,693.56,693.56,693.1,693.18,332515.0,693.297
SPY,2026-01-26 12:50:00-05:00,693.18,693.39,693.03,693.26,273296.0,693.213
SPY,2026-01-26 12:55:00-05:00,693.27,693.38,693.09,693.24,239825.0,693.264
SPY,2026-01-26 13:00:00-05:00,693.24,693.36,693.05,693.19,232492.0,693.216
SPY,2026-01-26 13:05:00-05:00,693.19,693.23,692.9,693.0,313006.0,693.066
SPY,2026-01-26 13:10:00-05:00,693.0,693.14,692.97,693.06,218896.0,693.062
SPY,2026-01-26 13:15:00-05:00,693.05,693.49,692.93,693.43,332683.0,693.252
SPY,2026-01-26 13:20:00-05:00,693.42,693.73,693.37,693.68,322579.0,693.588
SPY,2026-01-26 13:25:00-05:00,693.68,693.87,693.51,693.79,376462.0,693.678
SPY,2026-01-26 13:30:00-05:00,693.78,694.13,693.74,694.03,487146.0,694.021
SPY,2026-01-26 13:35:00-05:00,694.04,694.06,693.66,693.68,348259.0,693.865
SPY,2026-01-26 13:40:00-05:00,693.68,693.74,693.47,693.54,393739.0,693.605
SPY,2026-01-26 13:45:00-05:00,693.53,693.56,693.33,693.52,331424.0,693.455
SPY,2026-01-26 13:50:00-05:00,693.52,693.69,693.45,693.68,285765.0,693.593
SPY,2026-01-26 13:55:00-05:00,693.68,693.7,693.47,693.59,192305.0,693.571
SPY,2026-01-26 14:00:00-05:00,693.58,693.74,693.48,693.59,430387.0,693.603
SPY,2026-01-26 14:05:00-05:00,693.59,693.87,693.5,693.78,416779.0,693.714
SPY,2026-01-26 14:10:00-05:00,693.79,693.98,693.76,693.82,391996.0,693.861
SPY,2026-01-26 14:15:00-05:00,693.81,693.91,693.71,693.81,287841.0,693.818
SPY,2026-01-26 14:20:00-05:00,693.81,693.82,693.46,693.53,293150.0,693.609
SPY,2026-01-26 14:25:00-05:00,693.55,693.85,693.48,693.82,351429.0,693.663
SPY,2026-01-26 14:30:00-05:00,693.83,693.93,693.66,693.72,412690.0,693.789
SPY,2026-01-26 14:35:00-05:00,693.72,693.74,693.57,693.63,141834.0,693.669
SPX,2026-01-26 08:30:00-06:00,6923.23,6936.87,6921.6,6935.89,0.0,0.0
SPX,2026-01-26 08:35:00-06:00,6935.97,6943.81,6935.97,6941.65,0.0,0.0
SPX,2026-01-26 08:40:00-06:00,6941.48,6946.56,6938.99,6945.5,0.0,0.0
SPX,2026-01-26 08:45:00-06:00,6945.42,6948.99,6945.38,6945.38,0.0,0.0
SPX,2026-01-26 08:50:00-06:00,6945.7,6950.02,6944.94,6947.75,0.0,0.0
SPX,2026-01-26 08:55:00-06:00,6947.77,6949.78,6945.16,6945.86,0.0,0.0
SPX,2026-01-26 09:00:00-06:00,6945.28,6946.86,6943.21,6945.82,0.0,0.0
SPX,2026-01-26 09:05:00-06:00,6945.71,6946.85,6943.33,6943.36,0.0,0.0
SPX,2026-01-26 09:10:00-06:00,6943.29,6949.95,6940.87,6949.39,0.0,0.0
SPX,2026-01-26 09:15:00-06:00,6949.44,6954.77,6948.29,6954.62,0.0,0.0
SPX,2026-01-26 09:20:00-06:00,6954.73,6957.46,6954.62,6956.8,0.0,0.0
SPX,2026-01-26 09:25:00-06:00,6956.88,6957.31,6948.82,6948.94,0.0,0.0
SPX,2026-01-26 09:30:00-06:00,6949.27,6954.31,6947.84,6952.47,0.0,0.0
SPX,2026-01-26 09:35:00-06:00,6952.36,6953.83,6950.49,6951.03,0.0,0.0
SPX,2026-01-26 09:40:00-06:00,6951.18,6951.6,6945.4,6946.11,0.0,0.0
SPX,2026-01-26 09:45:00-06:00,6946.12,6954.02,6946.12,6952.78,0.0,0.0
SPX,2026-01-26 09:50:00-06:00,6952.86,6956.97,6952.86,6955.21,0.0,0.0
SPX,2026-01-26 09:55:00-06:00,6955.3,6956.85,6952.97,6953.87,0.0,0.0
SPX,2026-01-26 10:00:00-06:00,6953.66,6954.57,6950.61,6952.46,0.0,0.0
SPX,2026-01-26 10:05:00-06:00,6952.51,6953.26,6949.48,6952.33,0.0,0.0
SPX,2026-01-26 10:10:00-06:00,6952.35,6952.84,6950.35,6951.88,0.0,0.0
SPX,2026-01-26 10:15:00-06:00,6951.81,6952.29,6947.71,6948.49,0.0,0.0
SPX,2026-01-26 10:20:00-06:00,6948.38,6953.6,6946.01,6953.55,0.0,0.0
SPX,2026-01-26 10:25:00-06:00,6953.5,6956.02,6952.47,6954.59,0.0,0.0
SPX,2026-01-26 10:30:00-06:00,6954.52,6956.61,6953.37,6953.42,0.0,0.0
SPX,2026-01-26 10:35:00-06:00,6953.28,6955.75,6952.24,6954.02,0.0,0.0
SPX,2026-01-26 10:40:00-06:00,6953.92,6954.52,6952.17,6952.78,0.0,0.0
SPX,2026-01-26 10:45:00-06:00,6952.75,6954.54,6951.36,6953.38,0.0,0.0
SPX,2026-01-26 10:50:00-06:00,6953.41,6955.42,6952.87,6954.5,0.0,0.0
SPX,2026-01-26 10:55:00-06:00,6954.6,6956.06,6953.66,6954.61,0.0,0.0
SPX,2026-01-26 11:00:00-06:00,6954.69,6959.78,6953.98,6959.03,0.0,0.0
SPX,2026-01-26 11:05:00-06:00,6959.13,6960.53,6957.94,6957.96,0.0,0.0
SPX,2026-01-26 11:10:00-06:00,6957.83,6958.69,6956.17,6958.42,0.0,0.0
SPX,2026-01-26 11:15:00-06:00,6958.36,6959.68,6957.62,6958.54,0.0,0.0
SPX,2026-01-26 11:20:00-06:00,6958.71,6960.4,6958.0,6959.26,0.0,0.0
SPX,2026-01-26 11:25:00-06:00,6959.22,6960.06,6958.38,6958.55,0.0,0.0
SPX,2026-01-26 11:30:00-06:00,6958.49,6958.94,6956.26,6957.7,0.0,0.0
SPX,2026-01-26 11:35:00-06:00,6957.74,6958.79,6956.73,6958.15,0.0,0.0
SPX,2026-01-26 11:40:00-06:00,6958.2,6959.35,6957.2,6959.18,0.0,0.0
SPX,2026-01-26 11:45:00-06:00,6959.17,6959.17,6954.41,6955.22,0.0,0.0
SPX,2026-01-26 11:50:00-06:00,6955.11,6956.93,6953.81,6956.31,0.0,0.0
SPX,2026-01-26 11:55:00-06:00,6956.27,6957.31,6954.56,6956.06,0.0,0.0
SPX,2026-01-26 12:00:00-06:00,6956.11,6956.9,6954.34,6955.65,0.0,0.0
SPX,2026-01-26 12:05:00-06:00,6955.57,6955.64,6952.47,6953.02,0.0,0.0
SPX,2026-01-26 12:10:00-06:00,6953.07,6954.88,6953.07,6953.98,0.0,0.0
SPX,2026-01-26 12:15:00-06:00,6954.01,6958.04,6953.05,6957.64,0.0,0.0
SPX,2026-01-26 12:20:00-06:00,6957.71,6960.54,6957.3,6960.42,0.0,0.0
SPX,2026-01-26 12:25:00-06:00,6960.4,6961.75,6959.05,6961.23,0.0,0.0
SPX,2026-01-26 12:30:00-06:00,6961.15,6964.66,6960.92,6963.81,0.0,0.0
SPX,2026-01-26 12:35:00-06:00,6963.85,6963.97,6960.26,6960.39,0.0,0.0
SPX,2026-01-26 12:40:00-06:00,6960.45,6960.66,6958.32,6958.81,0.0,0.0
SPX,2026-01-26 12:45:00-06:00,6958.82,6958.97,6957.04,6958.87,0.0,0.0
SPX,2026-01-26 12:50:00-06:00,6958.86,6960.34,6957.93,6959.99,0.0,0.0
SPX,2026-01-26 12:55:00-06:00,6960.08,6960.21,6958.25,6959.29,0.0,0.0
SPX,2026-01-26 13:00:00-06:00,6959.26,6960.24,6958.34,6959.0,0.0,0.0
SPX,2026-01-26 13:05:00-06:00,6958.99,6961.49,6958.49,6961.07,0.0,0.0
SPX,2026-01-26 13:10:00-06:00,6961.08,6962.98,6961.05,6961.21,0.0,0.0
SPX,2026-01-26 13:15:00-06:00,6961.24,6962.01,6960.52,6961.63,0.0,0.0
SPX,2026-01-26 13:20:00-06:00,6961.59,6961.59,6958.13,6958.8,0.0,0.0
SPX,2026-01-26 13:25:00-06:00,6958.74,6961.86,6958.2,6961.85,0.0,0.0
SPX,2026-01-26 13:30:00-06:00,6961.77,6962.42,6959.93,6960.7,0.0,0.0
SPX,2026-01-26 13:35:00-06:00,6960.67,6960.67,6959.42,6959.57,0.0,0.0
